,0
Decent place to grab lunch.,
"
Biggest gripe is you have to go to the counter and ask for a refill on your drink.",
"
Get the spicy chicken sandwich with the honey bbq sauce!",
"I usually visit this chick-fil-a at least 2-3 times a month because it is the closest to my house, but may be driving farther to go to a different location in the future.",the closest
The last three times I have visited (always through the drive-through),
"the cashier has gotten my order wrong (either something completely wrong, or made incorrectly), even when they say it correctly back to you when you're ordering.",wrong
"

",
"The last time I was here I had ordered a milkshake with no cherry as I am allergic to them (which I also said), drove up to the window, and was handed a milkshake with a cherry on it.",allergic to them -LRB- which I also said -RRB-
"When I gave it back and let them know it was supposed to no cherry, I watched the cashier through the window pick the cherry out with a napkin and cover up the leftover juice with whipped cream, then give it back to me.",
"After asking if it had been remade, the guy didn't know what to say and didn't answer me until I told him it needed to be remade and I had seen him just pick it out with a napkin.",
"

Fast forward two weeks later, my husband and I are at chick-fil-a again, and we order a grilled nugget meal.",
"Pulling up to the window, we are now given a regular (breaded) nugget meal.",
"When we asked about it and gave it back to them, the cashier (who didn't apologize) informed us they would need to charge an additional $0.80 for the price difference.",
Seriously?,
So now we're again waiting for several minutes for the correct food after getting the wrong order.,
"The service as this chick-fil-a used to be great, but lately is seems like all of the workers are high school kids wanting to gossip and hang out without paying attention to helping customers or doing their job.",great
"Judging from the other recent yelp reviews, we're not the only people this has happened to.",
The service/management at this store really needs to get it together.,
"Every single time we have an issue especially in the drive thru.... they rush you when taking your order, cram all of your food in 1 bag, make your order incorrectly or forget parts of your order before pushing you through to get to the next person.",
I have tried to give them the benefit and go back but its a reoccurring issue.,
"

Last time I stopped and checked the order and with no surprise we were missing a sandwich - I went back in and spoke to a manager who was unapologetic and rude demanding a receipt when I had just pulled off the drive through, I explained this is a reoccurring issue and he directed me to the wall to get information if I would like to let the operator know.",unapologetic and rude
The management needs to get it together - Don't waste your time go to somewhere that cares about your business.,
Plenty of other options in that area.,
"There is another Chick Fil A five minutes from my house, but I drive 15 min to this location because they have the most fun and friendly staff!",most fun and friendly
 I always feel welcome when I come in.,welcome
The food is fantastic!,fantastic
"Chick Fil A has the best chicken nuggets, waffle fries and fresh lemonade!",
 Yum!,
"Love this place, try the chicken bagel spicy.",spicy
 Amazing!,Amazing !
 Always go here any chance I get.,
 Thanks.,
"Five stars
I grew up on CFA
",
It is Hot Good and well Extra Good.,Hot Good
Order what you like its all GOOD.,all GOOD
"
All white mean chicken the king of sandwiches when it comes to chicken.",
The fries are the best ever to touch your lips and gums.,the best
They have pure honey & they know I'm on my way so they never run out.,
This CFA was always busy and full of kids for mine to play with.,busy and full
We wound up here several times on a recent visit to our family.,
"I mean, it is CFA, they treat you well, the food was great, and the play area was big enough to fit the 10 or so kids that were in it every time!","great, big enough to fit the 10 or so kids that were in it every time"
"Yum, not sure what there isn't to love about this place.",not sure what there is n't to love about this place
Food is great and fresher than many other fast food places.,"great, fresher"
The staff is friendly and always accommodating to my children and I.,friendly
"Yes, they get busy, but they are great at still getting you in and out.","busy, great at still getting you in and out"
What can I say except I have soft spot for Chick-fil-A.,
  ,
Perhaps it's their world-famous chicken sandwich.,world - famous
Or perhaps their hatred of the sacred cow.,
 Either way I like it.,
"I prefer the plain old number one sandwich combination, hold the pickle.",
"Also, their milkshakes are rather tasty.",rather tasty
 ,
"However, their waffle fries could use some improvement, .",
as could their approach for filling up soda behind the counter.,as
"Other than that, I'm sorry",sorry
"Yelp, I'm giving a fast food restaurant four stars.",
"Yes, I'm reviewing @ChickfilA, but with good reason.",
"

Marissa worked the counter today, and epitomized service with a smile!",
"She delivered our food to the table, and even asked if we needed refills on our drinks.",
"She was one of the friendliest people I've ever encountered at a fast food restaurant, and should be praised by her employer.",
"The food is pretty good, and I would probably go to Chik fil-A before KFC.",pretty good
But I just want to rave about the service.,
"Fast food can be delicious, at least at Chik-Fil-A!",delicious
"

I met some moms here for a little play date and lunch, I hate McD's and this is another option - a better, cleaner, more nutritious and delicious option.","better, cleaner, more nutritious, delicious"
"

UPS:
",
"My daughter hates nuggets, any nuggets, anywhere.",
" She LOVED these nuggets and the fruit cup, she finished it all!",
" 

The play area is smaller but it's nicer and cleaner and has less kids running around (at least on this afternoon).","smaller, nicer and cleaner"
They have delicious and fresh salad options which also come with their scrumptious chicken (you can get grilled too).,"delicious and fresh, scrumptious"
 Love the dressings!,
"

Friendly and helpful staff.",Friendly and helpful
"

DOWNS:",
"
A little pricey for those fresh salad options (almost $8)

",A little pricey
Sucky kids toys (comic book?),
The best customer service...matched only by their great food!,
I love the Broccoli-Kale salad and grilled nuggets!,
And lemonade!,
And milkshakes!!,
Always friendly.,friendly
Solid Chik-Fil-A. I came here for lunch and ordered a Chik-Fil-A sandwich with medium fries and a drink.,
The staff was incredibly friendly and brought me my food when it was ready.,"incredibly friendly, ready"
The food was great!,great
Just like every Chik-Fil-A I've been too.,
The chicken was nice and crispy.,nice and crispy
"The fries were great with polynesian sauce and what can i say I'm a fan of the place, so it was very enjoyable.","great with polynesian sauce, very enjoyable"
"As I was only on vacation, but come down here eery year for Spring Training I will definitely drop by again in the future when I am back in the area.",
Worst service ever.,
Dined in and got no straws after ordering two drinks and also NO napkins .,
Won't drive thru service is better I definitely won't Dine in again.,better
I do like their food.,
I like how the kid meals come with something educational instead of some piece of plastic junk.,
"The only thing I would say is for the price, I think their portions could be a little bigger.",a little bigger
I am always wanting just a couple more waffle fries.,
I have had ALOT of bad experiences at this location but this is ridiculous.,ridiculous
Ordered a #2 chicken sandwich...,
I get this??,
How do you forget the bun?!,
"Honestly I'm just going to start driving the 20 minutes to the Deer valley location because between this stupid shit, last time I didn't get my fries and paid for them (with NO Return phone call from the manager), and the terrible ATTITUDES from the children that work there (I thought maybe I was being petty but apparently this is a thing here)...",petty
I'm over it.,
"Get it together Chick-fil-A, or at least learn ACTUAL customer service when you f up.",
"The food was good, really overpriced.","good , really overpriced"
 The service was great.,great
Everything was really clean for a fast food place.,really clean for a fast food place
 It seems like every time I get to have Chic fil a that their food shrinks.,
I was here for the opening of the store.,
I did that overnight thing where I hung out in the parking lot and got 52 free cards for meals.,
That was mang years ago.,
"
",
"Since then, I've gone back many times.",
The food has been consistent and the service has always been great.,"consistent, great"
"When I worked nearby, I would come here for many busy lunches, and they always kept everything moving very quickly.",
While it's not the place to go for anything healthy the salads are very good and generous in size.,very good and generous
 I had the grilled chicken sandwich that had a funky taste.,
The lettuce covered it like it was hiding the piece of chicken.,
"Almost as a warning ""why are you eating the grilled chicken"" 
It just is not the place to order this item.",
"
It was rubbery and tasted like it was 100% rib meet.",rubbery
It is shaped like a breast and has lines on it like it is grilled.,
"4 stars for the salads, stay away from the grilled stuff and go with the signature fried stuff.",
Always to go this Chick-fil-A location since it's closer to my place.,closer
"Ordered through drive-thru spicy deluxe sandwich, they read me back the order at the pick up window and my receipt also shows spicy deluxe and label on the sandwich box also shows spicy deluxe.","spicy, pick up, spicy deluxe"
"Came back and opened the box and it's grilled sandwich, how come the order go wrong at three different check points.",
Is this way u run a successful franchise with bunch of folks who does not know how to run the process flow for delivering a simple order.,
