,Indicative,Sentences in biz,Indicative ADJP - deep extraction,Indicative ADJP - shallow extraction,Manually laballed ADJP
0,TRUE,Disappointed in my Waffle.,disappointed in my waffle,disappointed in my waffle,disappointed in my waffle
1,FALSE,After my third cup of coffee my waffle arrived.,-,-,
2,FALSE,It was obviously sitting under some sort of warmer while they made my wife's food.,-,-,some sort of warmer
3,TRUE,I waited so long for my waffle I didn't have time to send it back.,so long for my waffle,so long for my waffle,so long for my waffle
4,FALSE,I ate less than half and didn't want to eat any more cold waffle.,-,-,"less than half , cold"
5,FALSE,The waitress finally came by and asked if I wanted a box.,-,-,
6,TRUE,I told her no because the waffle was cold out of gate.,cold out of gate,cold out of gate,cold out of gate
7,FALSE,She didn't offer a resolution.,-,-,
8,FALSE,She actually said if she had made it it would have been perfect!,-,-,perfect
9,TRUE,The place wasn't overly busy.,overly busy,overly busy,overly busy
10,FALSE,Plenty of tables.,-,-,plenty of tables
11,FALSE,Not sure why my food was cold.,-,-,
12,FALSE,Will not be going back.,-,-,
13,FALSE,My hubby really wanted to try the waffles so one blustery and gray Pittsburgh Saturday we decided to go and try.,-,-,one blustery and gray Pittsburgh
14,FALSE,"I have wanted to try WI for a while now and just didn't get there so now that they are so close, makes it very easy.",-,-,
15,FALSE,I checked the no wait app and there was no wait.,-,-,
16,FALSE,Onward we went.,-,-,
17,FALSE,There was a line but there was a huge party waiting to be seated.,-,-,huge party
18,FALSE,It took a few minutes,-,-,
19,FALSE,but it was not bad and once we got to the host stand we were immediately seated.,-,-,not bad
20,FALSE,"I have to say, unfortunately our waitress was not good.",-,-,not good
21,FALSE,She walked back and fourth a few times before bringing our coffee.,-,-,
22,FALSE,Making excuses.,-,-,
23,FALSE,Then she brought the wrong meal for my husband blaming the kitchen.,-,-,
24,FALSE,Never asked my hubby if he needed a water refill.,-,-,
25,FALSE,Then she brought the check and did not even ask if dessert was in our future.,-,-,
26,FALSE,"Thankfully the food was great (the only reason this gets a 4and not a 5, our waitress).",-,-,food was great
27,FALSE,"The waffles light and fluffy and the toppings we got were wow, just wow!",-,-,"light and fluffy, wow, just wow"
28,FALSE,And there are so many choices.,-,-,
29,FALSE,I chose the chicken and waffles.,-,-,
30,FALSE,I didn't even need syrup on it.,-,-,
31,FALSE,"The waffle with its pecans, light and fluffy.",-,-,light and fluffy
32,FALSE,"The fried chicken tenders on top were sweet, tender, and a little crispy.",-,-,"sweet, tender and a little crispy "
33,FALSE,"The hubby chose the sausage gravy and waffles, double portion which didn't look like a double but who are we.",-,-,
34,FALSE,But the sausage gravy was seasoned wonderfully with nice big  chunks of sausage.,-,-,
35,FALSE,"Overall, the food is delicious.",-,-,food is delicious 
36,FALSE,Our waitress was not good.,-,-,not good
37,FALSE,But I would and we will certainly go back.,-,-,
38,TRUE,I've love Waffles INC a long time--since their New Brighton location and am SO excited for them to have a move convenient for me location.,so excited for them to have a move convenient for me location,so excited for them to have a move convenient for me location,so excited for them to have a move convenient for me location
39,FALSE," I love the Funky Monkey Waffle and usually order it as it is wonderful but the first time we came to wexford, I decided to try something new and went with the Chicken and Waffles.",-,-,
40,FALSE," It was wonderful, a ton of food for the money (four full chicken tenders and a huge waffle) and was so delicious.",-,-,
41,FALSE, My dad stole one of my chicken tenders because I couldn't finish.,-,-,
42,FALSE, We were a party of 5 and everything went well.,-,-,
43,FALSE," My Dad had the sausage gravy waffle, my husband had the eggs benedict waffle and my mom designed her own.",-,-,
44,TRUE," Everyone loved their food especially my 4 year old who ate every bite of his eggs and bacon and deemed this his new favorite restaurant so clearly, we will be back :)",4 year old,4 year old,
45,FALSE,"On a Monday morning at 9:30, one would expect that the service would be fast and friendly;",-,-,fast and friendly 
46,FALSE,"However, this is not what my experience was.",-,-,
47,FALSE,The waitress was extremely slow and ignored my table a few times.,-,-,extremely slow 
48,FALSE,"It was very busy, but the waitress made my boyfriend and me feel like a burden.",-,-,very busy
49,FALSE,"Sitting next to the door, I watched as people piled in without being greeted or seated for more than 15 minutes.",-,-,
50,FALSE,I would like to add that there were multiple tables available.,-,-,
51,FALSE,"

",-,-,
52,FALSE,I ordered the Berry waffles and my boyfriend ordered Chicken and Waffles.,-,-,
53,FALSE,The visual aspect of the food was wonderful (check pictures below).,-,-,wonderful
54,FALSE,"The taste, was disappointing though.",-,-,disappointing 
55,FALSE,The fruit was not fresh and the strawberry syrup overpowered the whole waffle.,-,-,not fresh
56,TRUE,"My boyfriend liked the chicken and waffles, but then later sat weird with him.",weird with him,weird with him,
57,FALSE,I could tell the kitchen was in a rush when preparing the food too.,-,-,
58,FALSE,"

",-,-,
59,TRUE,"Overall, I am disappointed with my experience.",disappointed with my experience,disappointed with my experience,disappointed with
60,FALSE,"However, I am going to attribute the poor service and taste with the restaurant being under staffed.",-,-,poor service
61,FALSE,I will try to go back one more time before I make my final judgement.,-,-,
62,TRUE,"Hopefully, the staff will be plentiful with smiles on their faces- even during a rush.",plentiful with smiles on their faces even during a rush,plentiful with smiles on their faces even during a rush,plentiful with smiles on their faces even during a rush
63,FALSE,What a welcome addition to Wexford!,-,-,
64,TRUE,Literally located in the plaza in front of North Allegheny High School and open at 8am for Breakfast/Brunch.,open at 8 am for breakfast brunch,open at 8 am for breakfast brunch,open at 8 am for breakfast brunch
65,FALSE,"When we searched for Brunch places to take our visiting out of town daughter last night & discovered this now existed, all 3 of us said, 'Done!'",-,-,
66,FALSE,"We've been to the Southside location before & this one pretty much replicated the great food in a slightly larger space with a bit more elbow room, so it's a win.",-,-,"great food, slightly larger"
67,FALSE,"

",-,-,
68,FALSE,"My husband and daughter both got The Chunky Monkey Waffles with bananas, peanut butter and chocolate.",-,-,
69,FALSE,There were loads of happy sounds from both of them across the table.,-,-,
70,FALSE,"I ordered The Souther' Waffles with chorizo, jalapeños, cheddar cheese, salsa and cilantro.",-,-,
71,TRUE,Absolutely delicious with a nice kick of heat.,absolutely delicious with a nice kick of heat,absolutely delicious with a nice kick of heat,"Absolutely delicious, nice kick of heat."
72,FALSE,My husband finished my last waffle section on my plate & also raved.,-,-,
73,FALSE,Adding their Bourbon Maple Syrup to both our dishes was fabulous.,-,-,fabulous
74,FALSE,"

",-,-,
75,FALSE,Portions are large and quite filling and there's always a special waffle each month that your server will describe.,-,-,"large, quite filling"
76,FALSE,"Our service was great, coffee cups were always filled with piping hot coffee and we'll definitely be back!",-,-,"great, piping hot"
77,FALSE,Good food but service is very slow.,-,-,"good food, very slow"
78,FALSE,Need more staff.,-,-,
79,FALSE,Cooks shouldn't be serving the food too... has great potential but not with current situation.,-,-,great potential
80,FALSE,We went for the first time on Fathers Day and it was predictably busy.,-,-,predictably busy 
81,FALSE,Happy we used NoWait app and got seated in about 5 mins.,-,-,
82,FALSE,The server greeted us promptly and courteously and took our orders quickly.,-,-,
