,Indicative,Sentences in biz,Indicative ADJP - deep extraction,Indicative ADJP - shallow extraction,Manually laballed ADJP
0,TRUE,Disappointed in my Waffle.,disappointed in my waffle,disappointed in my waffle,disappointed in my waffle
3,TRUE,I waited so long for my waffle I didn't have time to send it back.,so long for my waffle,so long for my waffle,so long for my waffle
6,TRUE,I told her no because the waffle was cold out of gate.,cold out of gate,cold out of gate,cold out of gate
9,TRUE,The place wasn't overly busy.,overly busy,overly busy,overly busy
38,TRUE,I've love Waffles INC a long time--since their New Brighton location and am SO excited for them to have a move convenient for me location.,so excited for them to have a move convenient for me location,so excited for them to have a move convenient for me location,so excited for them to have a move convenient for me location
44,TRUE," Everyone loved their food especially my 4 year old who ate every bite of his eggs and bacon and deemed this his new favorite restaurant so clearly, we will be back :)",4 year old,4 year old,
56,TRUE,"My boyfriend liked the chicken and waffles, but then later sat weird with him.",weird with him,weird with him,
59,TRUE,"Overall, I am disappointed with my experience.",disappointed with my experience,disappointed with my experience,disappointed with
62,TRUE,"Hopefully, the staff will be plentiful with smiles on their faces- even during a rush.",plentiful with smiles on their faces even during a rush,plentiful with smiles on their faces even during a rush,plentiful with smiles on their faces even during a rush
64,TRUE,Literally located in the plaza in front of North Allegheny High School and open at 8am for Breakfast/Brunch.,open at 8 am for breakfast brunch,open at 8 am for breakfast brunch,open at 8 am for breakfast brunch
71,TRUE,Absolutely delicious with a nice kick of heat.,absolutely delicious with a nice kick of heat,absolutely delicious with a nice kick of heat,"Absolutely delicious, nice kick of heat."
98,TRUE,they were light and flavorful.,light and flavorful,light and flavorful,light and flavorful 
100,TRUE,They have so many options which I love and we got a whole bottle of syrup so we never ran out which I loved and they have the best waffles here they are so good!,so good,-,so good
109,TRUE,The hostess was slow to seat us despite there being many empty tables.,slow to seat us despite there being many empty tables,slow to seat us despite there being many empty tables,slow to seat us despite there being many empty tables
111,TRUE, Our waitress showed up quickly but I was 'advised' there were many people ahead of me for a latte (really- one machine?) and it might arrive after our food.,really one,really one,
